filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree
1-40033.tif,866.5067014694214,42507.5,77,158,0.4873417721518987,0.8293901323019894,0.7114290187494894
1-40034.tif,845.6782767772675,41975.5,77,154,0.5,0.8367891551944,0.7375566657045571
1-40035.tif,848.5067009925842,41868.5,77,153,0.5032679738562091,0.8372619329022728,0.7307801009120757
1-40036.tif,847.293498635292,41428.0,77,151,0.5099337748344371,0.8656503442480642,0.7251637456234001
1-40037.tif,845.9797902107239,41352.0,76,151,0.5033112582781457,0.8512455367969195,0.7260832309714618
1-40038.tif,835.5361398458481,40220.5,75,149,0.5033557046979866,0.8545343993863959,0.7239804693056747
1-40039.tif,835.536138176918,40593.5,75,151,0.4966887417218543,0.8395809066366825,0.7306945785896449
1-40040.tif,834.9503535032272,40071.0,75,148,0.5067567567567568,0.8484281407726382,0.7223018694145811
1-40041.tif,836.2640615701675,40092.0,75,150,0.5,0.8431634066208893,0.7204116360877545
1-40042.tif,834.9503537416458,40270.0,75,149,0.5033557046979866,0.8578794446284688,0.7258889537249792
1-40043.tif,832.9503530263901,39978.0,75,148,0.5067567567567568,0.857345613150456,0.7240902413575435
1-40044.tif,830.9503526687622,39792.0,74,148,0.5,0.8483315088366574,0.7241949282159487
1-40045.tif,830.6072063446045,39375.0,74,148,0.5,0.8578910487808189,0.7171979530339919
1-40046.tif,827.7787795066833,39709.0,75,150,0.5,0.8409857376233353,0.7282328011144868
1-40047.tif,831.2934987545013,39488.0,75,149,0.5033557046979866,0.852328776292197,0.7180690923779572
1-40048.tif,830.3645657300949,39122.5,73,149,0.4899328859060403,0.852157476929003,0.7130152963142283
1-40049.tif,826.5655763149261,39174.5,74,147,0.5034013605442177,0.8596811591418484,0.7205409989261794
1-40050.tif,822.8082174062729,38854.0,73,148,0.49324324324324326,0.856441458305745,0.7211877797399127
1-40051.tif,824.8498476743698,39082.5,74,148,0.5,0.8583710158663695,0.7218424252523832
1-40052.tif,826.0214178562164,38579.5,74,149,0.4966442953020134,0.8433465807203975,0.7105323278612092
1-40053.tif,821.536138176918,38747.5,74,147,0.5034013605442177,0.8586728421644872,0.7214399811532223
